MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Vícemil,Jindřichův Hradec,Vícemili,"49.26391789,14.89430382"
Smržov,Jindřichův Hradec,Smržově,"49.07612693,14.68239022"
Bednáreček,Jindřichův Hradec,Bednárečku,"49.21013809,15.14395231"
Horní Skrýchov,Jindřichův Hradec,Horním Skrýchově,"49.17284092,15.02838973"
Bácovice,Pelhřimov,Bácovicích,"49.47678095,15.16735116"
Bělá,Pelhřimov,Bělé,"49.31257353,15.26063824"
Svojšín,Tachov,Svojšíně,"49.76616600,12.91072209"
Všenice,Rokycany,Všenicích,"49.81798208,13.56071957"
Kamenec,Rokycany,Kamenci,"49.88115528,13.59629013"
Tuchořice,Louny,Tuchořicích,"50.28473684,13.66259364"
Velemyšleves,Louny,Velemyšlevsi,"50.40267235,13.56376119"
Veltěže,Louny,Veltěžích,"50.35329887,13.87530131"
Raková,Rokycany,Rakové,"49.70041931,13.58199430"
Výškov,Louny,Výškově,"50.39551557,13.67218935"
Výrov,Plzeň-sever,Výrově,"49.96184805,13.46262587"
Ostrovec-Lhotka,Rokycany,Ostrovci-Lhotce,"49.91815884,13.72641972"
Žiželice,Louny,Žiželicích,"50.36750165,13.54007706"
Klíny,Most,Klínech,"50.63833597,13.54822168"
Meziboří,Most,Meziboří,"50.62124639,13.59880210"
Duchcov,Teplice,Duchcově,"50.60385479,13.74631009"
Hrob,Teplice,Hrobu; Hrobě,"50.65928319,13.72686458"
Jeníkov,Teplice,Jeníkově,"50.62868545,13.74900883"
Kladruby,Teplice,Kladrubech,"50.61500372,13.82560611"
Lahošť,Teplice,Lahošti,"50.61832893,13.76539366"
Ledvice,Teplice,Ledvicích,"50.58510193,13.77212658"
Mikulov,Teplice,Mikulově,"50.68769652,13.72170430"
Ohníč,Teplice,Ohníči,"50.58711733,13.84477363"
Pohořelice,Brno-venkov,Pohořelicích,"48.98121741,16.52445714"
Popice,Břeclav,Popicích,"48.92728550,16.66690602"
Velké Pavlovice,Břeclav,Velkých Pavlovicích,"48.90471556,16.81604853"
Hrobce,Litoměřice,Hrobcích,"50.46254725,14.23088907"
Chodouny,Litoměřice,Chodounech,"50.47324819,14.25057341"
Kleneč,Litoměřice,Klenči,"50.39266010,14.24880988"
Kostomlaty pod Řípem,Litoměřice,Kostomlatech pod Řípem,"50.38310844,14.33315551"
Křesín,Litoměřice,Křesíně,"50.39460213,13.98082087"
Libochovice,Litoměřice,Libochovicích,"50.40634752,14.04447776"
Děkov,Rakovník,Děkově,"50.17127219,13.55444914"
Malé Žernoseky,Litoměřice,Malých Žernosekách,"50.53405595,14.05482635"
Přílepy,Rakovník,Přílepech; Přílepích,"50.12326866,13.63266582"
Švihov,Rakovník,Švihově,"50.10992457,13.56436251"
Nové Dvory,Litoměřice,Nových Dvorech,"50.44767857,14.17949792"
Rovná,Pelhřimov,Rovné,"49.51024967,15.12943490"
Lhota-Vlasenice,Pelhřimov,Lhotě-Vlasenici,"49.29463980,15.13066101"
Koněšín,Třebíč,Koněšíně,"49.19053278,16.04121794"
Kozlany,Třebíč,Kozlanech,"49.17977164,16.06120565"
Krhov,Třebíč,Krhově,"49.10037793,16.01942155"
Krokočín,Třebíč,Krokočíně,"49.24412180,16.23299463"
Lesní Jakubov,Třebíč,Lesním Jakubově,"49.20581372,16.24337789"
Meziříčko,Třebíč,Meziříčku,"49.10937081,15.66024454"
Mohelno,Třebíč,Mohelně; Mohelnu,"49.11415938,16.19023144"
