MUNICIPALITY,REGION,LOCATIVE
Bohdalice-Pavlovice,Vyškov,Bohdalicích-Pavlovicích
Bohdalín,Pelhřimov,Bohdalíně
Bohdalov,Žďár nad Sázavou,Bohdalově
Bohdalovice,Český Krumlov,Bohdalovicích
Bohdaneč,Kutná Hora,Bohdanči
Bohdašín,Rychnov nad Kněžnou,Bohdašíně
Bohdíkov,Šumperk,Bohdíkově
Bohostice,Příbram,Bohosticích
Bohumilice,Prachatice,Bohumilicích
Bohumín,Karviná,Bohumíně
Bohunice,Prachatice,Bohunicích
Bohuňov,Žďár nad Sázavou,Bohuňově
Bohuňov,Svitavy,Bohuňově
Bohuňovice,Olomouc,Bohuňovicích
Bohuňovice,Svitavy,Bohuňovicích
Bohuslavice,Opava,Bohuslavicích
Bohuslavice,Šumperk,Bohuslavicích
Bohuslavice,Prostějov,Bohuslavicích
Bohuslavice,Jihlava,Bohuslavicích
Bohuslavice,Náchod,Bohuslavicích
Bohuslavice nad Vláří,Zlín,Bohuslavicích
Bohuslavice u Zlína,Zlín,Bohuslavicích
Bohuslávky,Přerov,Bohuslávkách
Bohušice,Třebíč,Bohušicích
Bohušov,Bruntál,Bohušově
Bohušovice nad Ohří,Litoměřice,Bohušovicích
Bohutice,Znojmo,Bohuticích
Bohutín,Příbram,Bohutíně
Bohutín,Šumperk,Bohutíně
Bohy,Plzeň-sever,"Bohách,Bozích"
Bochoř,Přerov,Bochoři
Bochov,Karlovy Vary,Bochově
Abertamy,Karlovy Vary,Abertamech
Adamov,České Budějovice,Adamově
Bělá nad Svitavou,Svitavy
Bělá pod Pradědem,Jeseník
Benátky,Hradec Králové
Benátky,Svitavy
Benátky nad Jizerou,Mladá Boleslav
Bochovice,Třebíč,Bochovicích
Bojanov,Chrudim,Bojanově
Bojanovice,Praha-západ,Bojanovicích
Bojiště,Havlíčkův Brod,Bojišti
Bojkovice,Uherské Hradiště,Bojkovicích
Bolatice,Opava,Bolaticích
Boleboř,Chomutov,Boleboři
Bolehošť,Rychnov nad Kněžnou,Bolehošti
Boleradice,Břeclav,Boleradicích
Bolešiny,Klatovy,Bolešinách
Boletice,Český Krumlov,Boleticích
Bolkov,Plzeň-jih,Bolkově
Boňkov,Havlíčkův Brod,Boňkově
Bor,Tachov,Boru
Bor u Skutče,Chrudim,Boru
Borač,Brno-venkov,Borači
Bordovice,Nový Jičín,Bordovicích
Boreč,Mladá Boleslav,Borči
Borek,České Budějovice,Borku
Borkovany,Břeclav,Borkovanech
Borkovice,Tábor,Borkovicích
Borohrádek,Rychnov nad Kněžnou,Borohrádku
Borotice,Příbram,Boroticích
Borotín,Tábor,Borotíně
Borová,Náchod,Borové
Borová Lada,Prachatice,Borových Ladech
Borovany,České Budějovice,Borovanech
Borovná,Jihlava,Borovné
Borovnice,České Budějovice,Borovnici
Borovnička,Trutnov,Borovničce
Borovník,Brno-venkov,Borovníku
Borovno,Plzeň-jih,Borovně
Borovy,Plzeň-jih,Borovech
Boršice,Uherské Hradiště,Boršicích
Boršice u Blatnice,Uherské Hradiště,Boršicích
Boršov,Jihlava,Boršově
Boršov nad Vltavou,České Budějovice,Boršově
Borušov,Svitavy,Borušově
Bory,Žďár nad Sázavou,Borech
Bořanovice,Praha-východ,Bořanovicích
Bořenovice,Kroměříž,Bořenovicích
Bořetice,Břeclav,Bořeticích
Bořetín,Jindřichův Hradec,Bořetíně
Bořice,Chrudim,Bořicích
Bořislav,Teplice,Bořislavi
Bořitov,Blansko,Bořitově
Boseň,Mladá Boleslav,Bosni
Boskovice,Blansko,Boskovicích
Boskovštejn,Znojmo,Boskovštejně
Bošice,Prachatice,Bošicích
Bošilec,České Budějovice,Bošilci
Bošín,Ústí nad Orlicí,Bošíně
Bošovice,Vyškov,Bošovicích
Boudy,Písek,Boudách
Bousín,Prostějov,Bousíně
Bousov,Chrudim,Bousově
Bouzov,Olomouc,Bouzově
Bozkov,Semily,Bozkově
Božanov,Náchod,Božanově
Božejov,Pelhřimov,Božejově
Božetice,Písek,Božeticích
Boží Dar,Karlovy Vary,Božím Daru
Božice,Znojmo,Božicích
Božičany,Karlovy Vary,Božičanech
Bradáčov,Tábor,Bradáčově
Brada-Rybníček,Jičín,Bradě-Rybníčku
Bradlec,Mladá Boleslav,Bradlci
Bradlecká Lhota,Semily,Bradlecké Lhotě
Brambory,Kutná Hora,Bramborách
Braňany,Most,Braňanech
Brandov,Most,Brandově
Brandýs nad Labem-Stará Boleslav,Praha-východ,"Brandýse nad Labem-Staré Boleslavi,Brandýsu nad Labem-Staré Boleslavi"
Brandýs nad Orlicí,Ústí nad Orlicí,"Brandýsu,Brandýse"
Brandýsek,Kladno,Brandýsku
Branice,Písek,Branicích
Braníškov,Brno-venkov,Braníškově
Branišov,České Budějovice,Branišově
Branišovice,Brno-venkov,Branišovicích
Branka u Opavy,Opava,Brance
Brankovice,Vyškov,Brankovicích
Branky,Vsetín,Brankách
Branná,Šumperk,Branné
Bransouze,Třebíč,Bransouzích
Brantice,Bruntál,Branticích
Branžež,Mladá Boleslav,Branžeži
Braškov,Kladno,Braškově
Bratčice,Kutná Hora,Bratčicích
Bratkovice,Příbram,Bratkovicích
Bratronice,Strakonice,Bratronicích
Branov,Rakovník,Branově
Bratrušov,Šumperk,Bratrušově
Bratřejov,Zlín,Bratřejově
Bratřice,Pelhřimov,Bratřicích
Bratříkovice,Opava,Bratříkovicích
Bratřínov,Praha-západ,Bratřínově
Bravantice,Nový Jičín,Bravanticích
Brázdim,Praha-východ,"Brázdimě,Brázdimu"
Brdy,Příbram,Brdech
Brloh,Český Krumlov,"Brloze,Brlohu"
Brňany,Litoměřice,Brňanech
Brněnec,Svitavy,Brněnci
Brníčko,Šumperk,Brníčku
Brnířov,Domažlice,Brnířově
Brniště,Česká Lípa,Brništi
Brno,Brno,"Brnu,Brně"
Brod nad Dyjí,Břeclav,"Brodě,Brodu"
Brod nad Tichou,Tachov,"Brodě,Brodu"
Brodce,Mladá Boleslav,Brodcích
Brodek u Prostějova,Prostějov,Brodku
Brodek u Přerova,Přerov,Brodku
Brodeslavy,Plzeň-sever,Brodeslavech
Broumov,Tachov,Broumově
